fips,county_name,state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
0900980070,,CT,2017,631,801,994,1244,1394
0901180280,,CT,2017,748,832,1077,1440,1645
0900580490,,CT,2017,695,868,1095,1400,1509
0900382590,,CT,2017,782,971,1212,1516,1707
0900982870,,CT,2017,968,1093,1325,1708,2013
0900781680,,CT,2017,886,1029,1367,1990,2051
0900183430,,CT,2017,1242,1539,1958,2485,2934
0900183500,,CT,2017,1242,1539,1958,2485,2934
0900384900,,CT,2017,782,971,1212,1516,1707
0901385950,,CT,2017,782,971,1212,1516,1707
0900186370,,CT,2017,1242,1539,1958,2485,2934
0900586440,,CT,2017,695,868,1095,1400,1509
0901586790,,CT,2017,665,725,939,1175,1294
0900387070,,CT,2017,782,971,1212,1516,1707
0900387000,,CT,2017,782,971,1212,1516,1707
0900987560,,CT,2017,631,801,994,1244,1394
0900987700,,CT,2017,968,1093,1325,1708,2013
0900587910,,CT,2017,695,868,1095,1400,1509
0901588190,,CT,2017,665,725,939,1175,1294
,,DE,2017,832,899,1037,1510,1827
,,DE,2017,845,1003,1211,1515,1686
,,DE,2017,618,688,915,1304,1477
1000199999,,DE,2017,832,899,1037,1510,1827
1000399999,,DE,2017,845,1003,1211,1515,1686
1000599999,,DE,2017,618,688,915,1304,1477
,,DC,2017,1440,1513,1746,2300,2855
1100199999,,DC,2017,1440,1513,1746,2300,2855
,,FL,2017,477,645,752,951,1266
,,FL,2017,687,741,920,1194,1331
,,FL,2017,754,810,961,1382,1680
,,FL,2017,608,764,959,1298,1454
,,FL,2017,829,1023,1307,1883,2303
,,FL,2017,624,717,878,1177,1339
